right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_elbow_yaw_joint
0.000221828,-0.000445514,0.040421,0.000699164,0.00531308
-0.00477817,-0.000447054,0.039356,0.00196313,0.0058632
-0.0197782,-0.000451676,0.036161,0.00575504,0.00751357
-0.0447782,-0.000459378,0.030836,0.0120749,0.0102642
-0.0797782,-0.000470161,0.023381,0.0209227,0.014115
-0.124778,-0.000484025,0.013796,0.0322984,0.0190661
-0.179778,-0.00050097,0.00208093,0.046202,0.0251175
-0.244778,-0.000520996,-0.0117641,0.0626336,0.0322691
-0.319778,-0.000544102,-0.0277391,0.0815931,0.0405209
-0.399778,-0.00056875,-0.0447792,0.101817,0.0493228
-0.479778,-0.000593397,-0.0618192,0.12204,0.0581248
-0.559778,-0.000618044,-0.0788593,0.142264,0.0669268
-0.639778,-0.000642691,-0.0958993,0.162487,0.0757287
-0.719778,-0.000667338,-0.112939,0.182711,0.0845307
-0.799778,-0.000691985,-0.129979,0.202934,0.0933326
-0.879778,-0.000716633,-0.147019,0.223158,0.102135
-0.959778,-0.00074128,-0.16406,0.243381,0.110937
-1.03936,-0.000765799,-0.181011,0.263499,0.119693
-1.11148,-0.000788016,-0.196371,0.281729,0.127627
-1.17359,-0.000807153,-0.209602,0.297431,0.134461
-1.2257,-0.000823209,-0.220702,0.310606,0.140195
-1.26782,-0.000836184,-0.229672,0.321252,0.144829
-1.29993,-0.000846078,-0.236513,0.32937,0.148362
-1.32205,-0.000852891,-0.241223,0.33496,0.150795
-1.33416,-0.000856624,-0.243803,0.338023,0.152128
-1.33669,-0.000857403,-0.244343,0.338663,0.152406
