left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_elbow_yaw_joint
-0.610193,-0.419404,-1.45275,0.0137788,1.46875
-0.609232,-0.420428,-1.45216,0.0187788,1.46576
-0.606349,-0.423503,-1.45039,0.0337788,1.4568
-0.601544,-0.428628,-1.44745,0.0587788,1.44187
-0.594817,-0.435803,-1.44332,0.0937788,1.42096
-0.586168,-0.445027,-1.43802,0.138779,1.39409
-0.575596,-0.456302,-1.43154,0.193779,1.36124
-0.563103,-0.469626,-1.42388,0.258779,1.32241
-0.548688,-0.485001,-1.41504,0.333779,1.27762
-0.533311,-0.5014,-1.40561,0.413778,1.22983
-0.517935,-0.517799,-1.39618,0.493778,1.18205
-0.502559,-0.534199,-1.38675,0.573778,1.13427
-0.487182,-0.550598,-1.37733,0.653778,1.08648
-0.471806,-0.566997,-1.3679,0.733778,1.0387
-0.456429,-0.583397,-1.35847,0.813778,0.990919
-0.441053,-0.599796,-1.34904,0.893778,0.943136
-0.425677,-0.616195,-1.33961,0.973778,0.895353
-0.4103,-0.632595,-1.33019,1.05378,0.84757
-0.394924,-0.648994,-1.32076,1.13378,0.799787
-0.379547,-0.665393,-1.31133,1.21378,0.752004
-0.364171,-0.681793,-1.3019,1.29378,0.704221
-0.348795,-0.698192,-1.29247,1.37378,0.656439
-0.334242,-0.713713,-1.28355,1.44949,0.611216
-0.321606,-0.727189,-1.2758,1.51523,0.57195
-0.310893,-0.738616,-1.26923,1.57097,0.538656
-0.302101,-0.747992,-1.26384,1.61672,0.511336
-0.295231,-0.755319,-1.25963,1.65246,0.489988
-0.290284,-0.760596,-1.2566,1.6782,0.474613
-0.287258,-0.763822,-1.25474,1.69394,0.465211
-0.286155,-0.764999,-1.25407,1.69968,0.461782
-0.286149,-0.765005,-1.25406,1.69971,0.461765
