left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_elbow_yaw_joint
-0.00207726,-0.00142776,-0.00494554,4.69067e-05,0.005
-0.00830903,-0.00571104,-0.0197822,0.000187627,0.02
-0.0186953,-0.0128498,-0.0445099,0.000422161,0.045
-0.0332361,-0.0228441,-0.0791286,0.000750508,0.08
-0.0519314,-0.035694,-0.123638,0.00117267,0.125
-0.0747812,-0.0513993,-0.178039,0.00168864,0.18
-0.101786,-0.0699602,-0.242331,0.00229843,0.245
-0.132944,-0.0913765,-0.316514,0.00300203,0.32
-0.16618,-0.114221,-0.395643,0.00375253,0.4
-0.199417,-0.137065,-0.474772,0.00450304,0.48
-0.232653,-0.159909,-0.5539,0.00525355,0.56
-0.265889,-0.182753,-0.633029,0.00600406,0.64
-0.299125,-0.205597,-0.712158,0.00675457,0.72
-0.332361,-0.228441,-0.791286,0.00750507,0.8
-0.365597,-0.251286,-0.870415,0.00825558,0.88
-0.398833,-0.27413,-0.949543,0.00900609,0.96
-0.432069,-0.296974,-1.02867,0.0097566,1.04
-0.465305,-0.319818,-1.1078,0.0105071,1.12
-0.497689,-0.342076,-1.1849,0.0112384,1.19795
-0.526186,-0.361663,-1.25275,0.0118819,1.26654
-0.550529,-0.378395,-1.3107,0.0124315,1.32513
-0.570717,-0.392271,-1.35877,0.0128874,1.37373
-0.586751,-0.403291,-1.39694,0.0132495,1.41232
-0.59863,-0.411456,-1.42522,0.0135177,1.44091
-0.606355,-0.416765,-1.44361,0.0136922,1.45951
-0.609925,-0.419219,-1.45211,0.0137728,1.4681
-0.610193,-0.419404,-1.45275,0.0137788,1.46875
