right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_elbow_yaw_joint
-1.33669,-0.000857403,-0.244343,0.338663,0.152406
-1.33514,-0.000968906,-0.249343,0.34348,0.154804
-1.33049,-0.00130342,-0.264343,0.357934,0.161997
-1.32273,-0.00186093,-0.289343,0.382023,0.173986
-1.31187,-0.00264145,-0.324342,0.415747,0.19077
-1.29791,-0.00364498,-0.369342,0.459107,0.21235
-1.28085,-0.00487152,-0.424342,0.512102,0.238725
-1.26069,-0.00632106,-0.489342,0.574734,0.269896
-1.23742,-0.0079936,-0.564342,0.647,0.305862
-1.2126,-0.00977766,-0.644342,0.724085,0.344226
-1.18778,-0.0115617,-0.724342,0.801169,0.38259
-1.16297,-0.0133458,-0.804342,0.878254,0.420954
-1.13815,-0.0151298,-0.884342,0.955338,0.459318
-1.11333,-0.0169139,-0.964342,1.03242,0.497682
-1.08851,-0.0186979,-1.04434,1.10951,0.536046
-1.0637,-0.020482,-1.12434,1.18659,0.57441
-1.03937,-0.0222303,-1.20274,1.26213,0.612006
-1.01786,-0.0237767,-1.27208,1.32895,0.645259
-0.999452,-0.0251001,-1.33143,1.38613,0.673717
-0.984145,-0.0262005,-1.38077,1.43367,0.697379
-0.97194,-0.0270778,-1.42011,1.47158,0.716246
-0.962837,-0.0277322,-1.44946,1.49986,0.730317
-0.956837,-0.0281635,-1.4688,1.51849,0.739593
-0.953938,-0.0283719,-1.47814,1.5275,0.744073
-0.953646,-0.0283929,-1.47908,1.5284,0.744525
